Date,Open,High,Low,Close,Adj Close,Volume
2018-01-26,187.750000,190.000000,186.809998,190.000000,190.000000,17759200
2018-01-29,188.750000,188.839996,185.630005,185.979996,185.979996,20453200
2018-01-30,187.619995,188.179993,181.839996,187.119995,187.119995,20858600
2018-01-31,188.369995,189.830002,185.220001,186.889999,186.889999,43275100
2018-02-01,188.220001,195.320007,187.889999,193.089996,193.089996,54211300
2018-02-02,192.039993,194.210007,189.979996,190.279999,190.279999,26677500
2018-02-05,186.929993,190.610001,180.610001,181.259995,181.259995,33128200
2018-02-06,178.570007,185.770004,177.740005,185.309998,185.309998,37758500
2018-02-07,184.149994,185.080002,179.949997,180.179993,180.179993,27601900
2018-02-08,181.009995,181.839996,171.479996,171.580002,171.580002,38478300
2018-02-09,174.759995,176.899994,167.179993,176.110001,176.110001,39887600
2018-02-12,177.059998,177.550003,171.839996,176.410004,176.410004,32092100
2018-02-13,175.619995,175.970001,173.100006,173.149994,173.149994,21809400
2018-02-14,173.449997,179.809998,173.210007,179.520004,179.520004,28929700
2018-02-15,180.500000,180.500000,176.839996,179.960007,179.960007,20922100
2018-02-16,178.990005,179.880005,176.300003,177.360001,177.360001,21015600
2018-02-20,175.770004,177.949997,175.110001,176.009995,176.009995,21204900
2018-02-21,176.710007,181.270004,176.399994,177.910004,177.910004,23200800
2018-02-22,178.699997,180.210007,177.410004,178.990005,178.990005,18464200
2018-02-23,179.899994,183.389999,179.509995,183.289993,183.289993,19007300
2018-02-26,184.580002,185.660004,183.220001,184.929993,184.929993,17599700
2018-02-27,184.449997,184.699997,181.460007,181.460007,181.460007,15849800
2018-02-28,182.300003,182.880005,178.139999,178.320007,178.320007,18783000
2018-03-01,179.009995,180.119995,174.410004,175.940002,175.940002,23201600
2018-03-02,173.289993,177.110001,172.990005,176.619995,176.619995,20025900
2018-03-05,176.199997,181.149994,175.889999,180.399994,180.399994,16189300
2018-03-06,181.779999,182.380005,179.110001,179.779999,179.779999,15086800
2018-03-07,178.740005,183.820007,178.070007,183.710007,183.710007,19097300
2018-03-08,183.559998,184.399994,181.449997,182.339996,182.339996,17225900
2018-03-09,183.910004,185.509995,183.210007,185.229996,185.229996,18526300
2018-03-12,185.229996,186.100006,184.220001,184.759995,184.759995,15301200
2018-03-13,185.610001,185.990005,181.110001,181.880005,181.880005,18067500
2018-03-14,182.600006,184.250000,181.850006,184.190002,184.190002,16821700
2018-03-15,183.240005,184.000000,182.190002,183.860001,183.860001,15614300
2018-03-16,184.490005,185.330002,183.410004,185.089996,185.089996,24403400
2018-03-19,177.009995,177.169998,170.059998,172.559998,172.559998,88140100
2018-03-20,167.470001,170.199997,161.949997,168.149994,168.149994,129851800
2018-03-21,164.800003,173.399994,163.300003,169.389999,169.389999,106598800
2018-03-22,166.130005,170.270004,163.720001,164.889999,164.889999,73743000
2018-03-23,165.440002,166.600006,159.020004,159.389999,159.389999,53609700
2018-03-26,160.820007,161.100006,149.020004,160.059998,160.059998,126116600
2018-03-27,156.309998,162.850006,150.750000,152.220001,152.220001,79117000
2018-03-28,151.649994,155.880005,150.800003,153.029999,153.029999,60029200
2018-03-29,155.149994,161.419998,154.139999,159.789993,159.789993,59434300
2018-04-02,157.809998,159.199997,154.110001,155.389999,155.389999,36796000
2018-04-03,156.550003,157.389999,150.809998,156.110001,156.110001,42543900
2018-04-04,152.029999,155.559998,150.509995,155.100006,155.100006,49885600
